country_name,population,area_sq_km,population_density,gdp_per_capita_usd,gdp_usd
Czech Republic,10649800,78870,137.7,23010,244932977600
Hong Kong,7496988,1110,7139.989,48755,366029556273
United Arab Emirates,9890400,83600,118.306,43103,421142267937
Angola,32866267,1246700,26.363,2973,94635415869
American Samoa,55197,200,275.985,11466,636000000
Belgium,11455519,30530,375.3,47436,542587364000
Brunei,437483,5770,83.014,31086,13469422941
Bolivia,11673029,1098580,10.775,3552,40895322865
Denmark,5806081,42920,138.0,61360,355582262000
Grenada,112519,340,330.938,10965,1228170370
Ireland,4904240,70280,70.9,78706,382365076000
Iran,83992953,1745150,51.575,5520,445345282122
Jordan,10203140,89320,114.926,4330,43743661971
Saint Kitts and Nevis,53192,260,204.585,19896,1050992592
Kuwait,4270563,17820,239.65,32031,134761198945
Namibia,2540916,824290,3.086,4957,12366527719
Nicaragua,6624554,130370,55.049,1912,12520915291
Portugal,10276617,92225,113.0,23364,240597516000
Solomon Islands,686878,28900,24.54,2127,1425074225
Sierra Leone,7976985,72300,110.515,504,3941474310
Suriname,586634,163820,3.76,6854,3985250737
El Salvador,6486201,21040,313.041,4187,27022640000
Tajikistan,9537642,141380,68.145,870,8116626794
United States Virgin Islands,104423,350,298.351,35938,3855000000
France,67012883,549086,105.6,41300,2776646200000
India,1380004385,3287259,464.149,2104,2875142314811
Australia,25499881,7741220,3.319,54907,1392680589329
Belize,397621,22970,17.432,4815,1879613600
Democratic Republic of the Congo,89561404,2344860,39.506,545,47319624204
Central African Republic,4829764,622980,7.753,467,2220307368
Dominican Republic,10847904,48670,224.501,8282,88941298257
Algeria,43851043,2381740,18.411,3948,169988236398
Ecuador,17643060,256370,71.038,6183,107435665000
Ghana,31072945,238540,136.56,2202,66983634223
Greece,10724599,131960,82.5,20296,217962048000
Iceland,356991,103000,3.5,66944,24188035738
Jamaica,2961161,10990,273.422,5582,16458071067
Japan,126476458,377970,346.934,40246,5081769542379
Cayman Islands,65720,260,273.833,85477,5485419416
Latvia,1919968,64490,30.4,17818,34398215400
Morocco,36910558,446550,82.703,3204,118725279596
Moldova,4033963,33850,122.799,4498,11955435456
Mali,20250834,1240190,16.596,890,17510141171
Northern Mariana Islands,57557,460,125.124,23258,1323000000
Niger,24206636,1267000,19.11,554,12928145120
Nauru,10834,20,541.7,9396,118223430
Panama,4314768,75420,58.041,15731,66800800000
Slovakia,5450421,49030,111.8,19470,105870732800
Senegal,16743930,196710,86.968,1446,23578084052
Turks and Caicos Islands,38718,950,40.756,27142,1022312010
Turkmenistan,6031187,488100,12.834,6966,40761142857
Turkey,82003882,785350,106.2,9042,754411708202
Uganda,45741000,241550,228.922,776,34387229486
Samoa,198410,2840,70.11,4315,850655017
South Africa,59308690,1219090,48.891,6001,351431649241
Finland,5517919,338450,18.1,50150,276654540000
Malaysia,32655400,330345,98.512,11414,364701517787
United States of America,331002647,9831510,36.185,65118,21374418877706
Afghanistan,38928341,652860,59.627,502,19101353832
Albania,2862427,28750,99.6,5352,15278077446
Austria,8858775,83879,107.1,51448,455140042000
Bosnia and Herzegovina,3280815,51210,64.33,6073,20047848434
Bangladesh,164689383,147630,1265.187,1855,302571254131
Botswana,2351625,581730,4.149,7961,18340510789
China,1439323774,9562910,153.312,10261,14342902842915
Micronesia,115021,700,164.316,3568,401932300
Georgia,3989175,69700,57.406,4769,17743195770
Guinea-Bissau,1967998,36130,69.986,697,1340389410
Iraq,40222503,435051,92.61,5955,234094042938
Sri Lanka,21413250,65610,341.465,3853,84008783756
Libya,6871287,1759540,3.905,7683,52076250947
Monaco,39244,2,26338.255,185829,7188238072
Qatar,2881060,11610,248.153,64781,183466208791
Seychelles,98340,460,213.783,17401,1698843062
Sudan,43849269,1886068,24.843,441,18902284475
San Marino,33938,60,565.633,48481,1637931034
Vietnam,97338583,331230,313.925,2715,261921244843
Estonia,1324820,45340,30.4,23246,30722303000
Spain,46937060,505935,93.1,30326,1418587740000
Romania,19414458,238400,83.1,12390,241475766400
Thailand,69799978,513120,136.624,7808,543649976165
Armenia,2963234,29740,104.083,4622,13672802157
Azerbaijan,10139175,86600,122.664,4793,48047647058
Barbados,287371,430,668.305,18148,5209000000
Benin,12123198,114760,107.513,1219,14390709094
Bhutan,771612,38393,20.243,3243,2446674102
Canada,37742157,9984670,4.15,46194,1736425629519
Switzerland,8544527,41290,213.6,81993,703082435360
Cameroon,26545864,475440,56.157,1497,38760467033
Costa Rica,5094114,51100,99.767,12238,61773944173
Cuba,11326616,109880,106.413,8821,100023000000
Cape Verde,555988,4030,137.962,3603,1981845740
Ethiopia,114963583,1104300,114.964,857,96107662398
Greenland,56772,410450,0.138,54470,3051626389
Equatorial Guinea,1402985,28050,50.017,8131,11026774945
Guatemala,17915567,108890,167.185,4619,76710385879
Guam,168783,540,312.561,35712,5920000000
Guyana,786559,214970,3.996,5468,4280443645
Honduras,9904608,112490,88.521,2574,25095395475
Croatia,4076246,56590,73.2,14868,60917594400
Isle of Man,85032,570,149.179,80989,6770532818
Italy,60359546,301340,202.9,34456,2083196780000
Lesotho,2142252,30360,70.562,1157,2460072443
Luxembourg,613894,2590,235.1,116348,70862634400
Macau,649342,30,21717.124,84096,53859116535
Maldives,540542,300,1801.807,10790,5729248472
Nigeria,206139587,923770,226.336,2229,448120428858
Papua New Guinea,8947027,462840,19.757,2845,24969611434
Palestine,5101416,6020,847.411,3198,14615900000
Paraguay,7132530,406751,17.953,5414,38145288939
Russia,145934460,17098250,8.911,11584,1699876578871
Slovenia,2080908,20675,102.9,26078,53990687600
Togo,8278736,56790,152.211,675,5459979416
Yemen,29825968,527970,56.492,968,27591261663
Zimbabwe,14862927,390760,38.42,1463,21440758800
Argentina,44938712,2780400,16.515,10006,449663446954
Peru,29381884,1285220,25.759,6977,226848050819
Andorra,77265,470,164.394,40886,3154057987
Bahrain,1701583,778,2238.925,23503,38574069148
Republic of the Congo,5518092,342000,16.158,2011,10820591130
Ivory Coast,26378275,322460,82.951,2286,58792205642
Djibouti,988002,23200,42.623,3408,3318716359
Egypt,102334403,1001450,102.802,3020,303175127597
Fiji,896444,18270,49.066,6220,5535548972
Gabon,2225728,267670,8.638,7667,16657960228
United Kingdom,66647112,243610,273.8,43070,2860009176200
Madagascar,27691019,587295,47.596,522,14083906356
Mauritius,1271767,2040,626.486,11203,14180444557
Malawi,19129955,118480,202.906,411,7666704427
Netherlands,17282163,41540,504.0,52982,913366020000
Puerto Rico,2860840,8870,322.53,32873,104988600000
Palau,18092,460,39.33,15859,283994900
Sweden,10230185,447430,25.0,54634,556025322000
Singapore,5850343,719,8357.633,65233,372062527488
East Timor,1318442,14870,88.665,1294,1673540300
Tunisia,11818618,163610,76.072,3317,38797709923
Tonga,105697,750,146.801,4364,450353313
Trinidad and Tobago,1399491,5130,272.805,17276,24100202833
Vanuatu,307150,12190,25.197,3058,917058850
